,index,Country,Region,Rating,Nratings,Label,Winery,Price,Wine_Variety
112,112,United States,Stags Leap District,4.4,9402,Stags Leap District Cabernet Sauvignon 2000,Cliff Lede,"145,850",['Cabernet Sauvignon']
113,113,United States,Napa Valley,4.4,4659,Cabernet Sauvignon 2015,Stags' Leap,"119,235",['Cabernet Sauvignon']
114,114,France,Languedoc,4.4,3055,Clos Syrah Léone 1995,Peyre Rose,"230,187","['Shiraz/Syrah', 'Mourvedre']"
115,115,Italy,Sangiovese di Romagna,4.4,2862,Tauleto Sangiovese 2001,Umberto Cesari,"89,426",['Sangiovese']
116,116,United States,Santa Maria Valley,4.4,2592,Clark & Telephone Vineyard Pinot Noir 2021,Belle Glos,"137,120",['Pinot Noir']
117,117,France,Saint-Émilion Grand Cru,4.4,2294,Saint-Emilion Grand Cru (Premier Grand Cru Classé) 1975,La Mondotte,"216,496","['Cabernet Franc', 'Merlot']"
118,118,Italy,Veneto,4.4,2109,Le Argille Cabernet di Cabernet 1947,47 Anno Domini,"93,685",['Cabernet Sauvignon']
119,119,Spain,Rioja,4.4,1961,Castillo Ygay Gran Reserva Especial Tinto 2004,Marqués de Murrieta,"367,043","['Tempranillo', 'Mazuelo']"
120,120,France,Pauillac,4.4,1601,Pauillac (Grand Cru Classé) 1995,Château Lynch-Bages,"238,892","['Merlot', 'Cabernet Sauvignon', 'Cabernet Franc']"
121,121,France,Saint-Estèphe,4.4,1585,Saint-Estèphe (Grand Cru Classé) 2000,Château Montrose,"272,486",['Cabernet Sauvignon']
122,122,France,Saint-Julien,4.4,1325,Saint-Julien (Grand Cru Classé) 2004,Château Léoville Las Cases,"261,288",['Cabernet Sauvignon']
123,123,France,Saint-Estèphe,4.4,1273,Saint-Estèphe (Grand Cru Classé) 1995,Château Montrose,"231,427","['Cabernet Sauvignon', 'Merlot', 'Cabernet Franc', 'Petit Verdot']"
124,124,France,Saint-Émilion Grand Cru,4.4,1104,Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2004,Château Figeac,"298,615","['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot']"
125,125,Chile,Colchagua Valley,4.4,905,Montes Alpha M Red 2006,Montes,"136,269","['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot', 'Petit Verdot']"
126,126,France,Pauillac,4.4,821,Carruades de Lafite Pauillac 2010,Château Lafite Rothschild,"470,318","['Cabernet Sauvignon', 'Merlot', 'Cabernet Franc', 'Petit Verdot']"
