"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES"
"ASN00059051","1961-08","-30.1167","153.1833","30.5","WOOLGOOLGA STATE FOREST, AS","","","","","","","","","","","","","","","","","","","","","65.0",",a,,a","",""
"ASN00059051","1961-09","-30.1167","153.1833","30.5","WOOLGOOLGA STATE FOREST, AS","8","3,a","6","3,a","1","3,a","","","","","","","19610908",",3,a","","","174.8","3,,a,08,","","","269.3",",a,,a","",""
"ASN00059051","1961-10","-30.1167","153.1833","30.5","WOOLGOOLGA STATE FOREST, AS","10",",a","8",",a","2",",a","","","","","","","19611017",",,a","","","76.2",",,a,17,","","","166.8",",,,a","",""
"ASN00059051","1961-11","-30.1167","153.1833","30.5","WOOLGOOLGA STATE FOREST, AS","","","","","","","","","","","","","","","","","","","","","158.5",",a,,a","",""
"ASN00059051","1961-12","-30.1167","153.1833","30.5","WOOLGOOLGA STATE FOREST, AS","9","5,a","8","5,a","1","5,a","","","","","","","19611214",",5,a","","","47.0","5,,a,14,","","","241.7",",a,,a","",""
"ASN00059051","1962-01","-30.1167","153.1833","30.5","WOOLGOOLGA STATE FOREST, AS","","","","","","","","","","","","","","","","","","","","","504.2",",a,,a","",""
"ASN00059051","1962-02","-30.1167","153.1833","30.5","WOOLGOOLGA STATE FOREST, AS","11",",a","7",",a","2",",a","","","","","","","19620206",",,a","","","33.0",",,a,06,","","","128.5",",,,a","",""
"ASN00059051","1962-03","-30.1167","153.1833","30.5","WOOLGOOLGA STATE FOREST, AS","16","3,a","12","3,a","3","3,a","","","","","","","19620312",",3,a","","","127.0","3,,a,12,","","","412.5",",a,,a","",""
"ASN00059051","1962-04","-30.1167","153.1833","30.5","WOOLGOOLGA STATE FOREST, AS","","","","","","","","","","","","","","","","","","","","","654.3",",a,,a","",""
"ASN00059051","1962-05","-30.1167","153.1833","30.5","WOOLGOOLGA STATE FOREST, AS","6","3,a","6","3,a","1","3,a","","","","","","","19620511",",3,a","","","152.4","3,,a,11,","","","328.8",",a,,a","",""
"ASN00059051","1962-06","-30.1167","153.1833","30.5","WOOLGOOLGA STATE FOREST, AS","2",",a","1",",a","0",",a","","","","","","","19620628",",,a","","","9.4",",,a,28,","","","10.7",",,,a","",""
"ASN00059051","1962-07","-30.1167","153.1833","30.5","WOOLGOOLGA STATE FOREST, AS","7","3,a","5","3,a","3","3,a","","","","","","","19620711",",3,a","","","55.1","3,,a,11,","","","298.3",",a,,a","",""
"ASN00059051","1962-08","-30.1167","153.1833","30.5","WOOLGOOLGA STATE FOREST, AS","","","","","","","","","","","","","","","","","","","","","175.3",",a,,a","",""
"ASN00059051","1962-09","-30.1167","153.1833","30.5","WOOLGOOLGA STATE FOREST, AS","4","2,a","1","2,a","0","2,a","","","","","","","19620921",",2,a","","","21.3","2,,a,21,","","","42.1",",a,,a","",""
"ASN00059051","1962-10","-30.1167","153.1833","30.5","WOOLGOOLGA STATE FOREST, AS","6","2,a","1","2,a","0","2,a","","","","","","","19621030",",2,a","","","11.4","2,,a,30,","","","36.4",",a,,a","",""
"ASN00059051","1962-11","-30.1167","153.1833","30.5","WOOLGOOLGA STATE FOREST, AS","7",",a","4",",a","1",",a","","","","","","","19621117",",,a","","","43.2",",,a,17,","","","77.5",",,,a","",""
"ASN00059051","1962-12","-30.1167","153.1833","30.5","WOOLGOOLGA STATE FOREST, AS","","","","","","","","","","","","","","","","","","","","","249.6",",a,,a","",""
"ASN00059051","1963-01","-30.1167","153.1833","30.5","WOOLGOOLGA STATE FOREST, AS","8","4,a","5","4,a","1","4,a","","","","","","","19630104",",4,a","","","69.1","4,,a,04,","","","139.4",",a,,a","",""
"ASN00059051","1963-02","-30.1167","153.1833","30.5","WOOLGOOLGA STATE FOREST, AS","7","4,a","3","4,a","2","4,a","","","","","","","19630213",",4,a","","","36.8","4,,a,13,","","","131.3",",a,,a","",""
"ASN00059051","1963-03","-30.1167","153.1833","30.5","WOOLGOOLGA STATE FOREST, AS","","","","","","","","","","","","","","","","","","","","","396.7",",a,,a","",""
"ASN00059051","1963-04","-30.1167","153.1833","30.5","WOOLGOOLGA STATE FOREST, AS","11","4,a","10","4,a","1","4,a","","","","","","","19630424",",4,a","","","49.3","4,,a,24,","","","610.0",",a,,a","",""
"ASN00059051","1963-05","-30.1167","153.1833","30.5","WOOLGOOLGA STATE FOREST, AS","8","5,a","7","5,a","2","5,a","","","","","","","19630507",",5,a","","","205.7","5,,a,07,","","","493.1",",a,,a","",""
"ASN00059051","1963-06","-30.1167","153.1833","30.5","WOOLGOOLGA STATE FOREST, AS","","","","","","","","","","","","","","","","","","","","","136.3",",a,,a","",""
"ASN00059051","1963-07","-30.1167","153.1833","30.5","WOOLGOOLGA STATE FOREST, AS","2",",a","0",",a","0",",a","","","","","","","19630715",",,a","","","2.0",",,a,15,","","","3.0",",,,a","",""
