"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"AYM00089022","2002-04","-75.45","-26.217","30.0","HALLEY, AY","25","4,S","26","4,S","25","5,S","0","5,S","0","5,S","20020408",",4,S","20020415",",5,S","-37.9","4,S,08,","-4.0","5,S,15,","-23.29","7,S","-17.56","5,,,S","-29.01","4,,,S"
"AYM00089022","2002-09","-75.45","-26.217","30.0","HALLEY, AY","26","4,S","26","4,S","","","","","","","20020907",",4,S","","","-47.1","4,S,07,","","","","","","","-37.75","4,,,S"
"AYM00089022","2002-11","-75.45","-26.217","30.0","HALLEY, AY","10","4,S","26","4,S","","","","","","","20021120",",4,S","","","-26.0","4,S,20,","","","","","","","-17.63","4,,,S"
"AYM00089022","2002-12","-75.45","-26.217","30.0","HALLEY, AY","3","2,S","29","2,S","","","","","","","20021213",",2,S","","","-18.5","2,S,13,","","","","","","","-11.08","2,,,S"
"AYM00089022","2003-02","-75.45","-26.217","30.0","HALLEY, AY","1","4,S","24","4,S","","","","","","","20030221",",4,S","","","-19.4","4,S,21,","","","","","","","-10.14","4,,,S"
"AYM00089022","2003-05","-75.45","-26.217","30.0","HALLEY, AY","24","5,S","26","5,S","","","","","","","20030530",",5,S","","","-38.6","5,S,30,","","","","","","","-27.78","5,,,S"
"AYM00089022","2003-10","-75.45","-26.217","30.0","HALLEY, AY","24","3,S","28","3,S","","","","","","","20031010",",3,S","","","-44.1","3,S,10,","","","","","","","-26.38","3,,,S"
"AYM00089022","2003-12","-75.45","-26.217","30.0","HALLEY, AY","0","3,S","28","3,S","","","","","","","20031201",",3,S","","","-16.2","3,S,01,","","","","","","","-8.81","3,,,S"
"AYM00089022","2004-11","-75.45","-26.217","30.0","HALLEY, AY","18","4,S","26","4,S","","","","","","","20041101",",4,S","","","-29.8","4,S,01,","","","","","","","-19.49","4,,,S"
"AYM00089022","2004-12","-75.45","-26.217","30.0","HALLEY, AY","0","2,S","29","2,S","","","","","","","20041211",",2,S","","","-15.9","2,S,11,","","","","","","","-9.24","2,,,S"
"AYM00089022","2005-02","-75.45","-26.217","30.0","HALLEY, AY","13","3,S","25","3,S","","","","","","","20050218",",3,S","","","-21.9","3,S,18,","","","","","","","-16.56","3,,,S"
"AYM00089022","2005-03","-75.45","-26.217","30.0","HALLEY, AY","20","2,S","29","2,S","","","","","","","20050322",",2,S","","","-32.0","2,S,22,","","","","","","","-20.46","2,,,S"
"AYM00089022","2005-11","-75.45","-26.217","30.0","HALLEY, AY","14","3,S","27","3,S","","","","","","","20051105",",3,S","","","-30.4","3,S,05,","","","","","","","-18.56","3,,,S"
"AYM00089022","2006-10","-75.45","-26.217","30.0","HALLEY, AY","21","4,S","27","4,S","","","","","","","20061013",",4,S","","","-38.5","4,S,13,","","","","","","","-26.30","4,,,S"
"AYM00089022","2007-11","-75.45","-26.217","30.0","HALLEY, AY","9","5,S","25","5,S","","","","","","","20071101",",5,S","","","-32.0","5,S,01,","","","","","","","-17.66","5,,,S"
"AYM00089022","2008-01","-75.45","-26.217","30.0","HALLEY, AY","1","3,S","28","3,S","","","","","","","20080120",",3,S","","","-19.6","3,S,20,","","","","","","","-9.85","3,,,S"
"AYM00089022","2008-02","-75.45","-26.217","30.0","HALLEY, AY","13","4,S","25","4,S","","","","","","","20080227",",4,S","","","-24.8","4,S,27,","","","","","","","-16.51","4,,,S"
"AYM00089022","2008-10","-75.45","-26.217","30.0","HALLEY, AY","24","5,S","26","5,S","","","","","","","20081010",",5,S","","","-40.6","5,S,10,","","","","","","","-29.12","5,,,S"
"AYM00089022","2008-12","-75.45","-26.217","30.0","HALLEY, AY","1","4,S","27","4,S","","","","","","","20081201",",4,S","","","-17.9","4,S,01,","","","","","","","-11.00","4,,,S"
"AYM00089022","2009-02","-75.45","-26.217","30.0","HALLEY, AY","9","4,S","24","4,S","","","","","","","20090214",",4,S","","","-23.6","4,S,14,","","","","","","","-17.12","4,,,S"
"AYM00089022","2010-02","-75.45","-26.217","30.0","HALLEY, AY","7","5,S","23","5,S","","","","","","","20100226",",5,S","","","-23.0","5,S,26,","","","","","","","-14.85","5,,,S"
"AYM00089022","2010-09","-75.45","-26.217","30.0","HALLEY, AY","21","3,S","27","3,S","","","","","","","20100905",",3,S","","","-41.5","3,S,05,","","","","","","","-26.12","3,,,S"
"AYM00089022","2010-12","-75.45","-26.217","30.0","HALLEY, AY","0","4,S","27","4,S","","","","","","","20101204",",4,S","","","-16.8","4,S,04,","","","","","","","-8.83","4,,,S"
"AYM00089022","2011-01","-75.45","-26.217","30.0","HALLEY, AY","0","3,S","28","3,S","","","","","","","20110107",",3,S","","","-9.6","3,S,07,","","","","","","","-5.95","3,,,S"
"AYM00089022","2011-12","-75.45","-26.217","30.0","HALLEY, AY","0","4,S","27","4,S","","","","","","","20111203",",4,S","","","-15.9","4,S,03,","","","","","","","-10.12","4,,,S"
"AYM00089022","2012-01","-75.45","-26.217","30.0","HALLEY, AY","0","3,S","28","3,S","","","","","","","20120112",",3,S","","","-15.6","3,S,12,","","","","","","","-10.73","3,,,S"
"AYM00089022","2012-03","-75.45","-26.217","30.0","HALLEY, AY","21","5,S","26","5,S","","","","","","","20120314",",5,S","","","-34.4","5,S,14,","","","","","","","-22.30","5,,,S"
"AYM00089022","2013-01","-75.45","-26.217","30.0","HALLEY, AY","0","4,S","27","4,S","","","","","","","20130131",",4,S","","","-16.4","4,S,31,","","","","","","","-8.72","4,,,S"
"AYM00089022","2013-02","-75.45","-26.217","30.0","HALLEY, AY","12","3,S","25","3,S","","","","","","","20130222",",3,S","","","-22.0","3,S,22,","","","","","","","-16.75","3,,,S"
"AYM00089022","2013-12","-75.45","-26.217","30.0","HALLEY, AY","0","3,S","28","3,S","","","","","","","20131201",",3,S","","","-15.5","3,S,01,","","","","","","","-9.04","3,,,S"
"AYM00089022","2014-01","-75.45","-26.217","30.0","HALLEY, AY","1","5,S","26","5,S","","","","","","","20140130",",5,S","","","-18.4","5,S,30,","","","","","","","-7.21","5,,,S"
"AYM00089022","2017-01","-75.45","-26.217","30.0","HALLEY, AY","0","2,S","29","2,S","","","","","","","20170128",",2,S","","","-14.7","2,S,28,","","","","","","","-7.74","2,,,S"
"AYM00089022","2018-01","-75.45","-26.217","30.0","HALLEY, AY","0","2,S","29","2,S","","","","","","","20180129",",2,S","","","-14.6","2,S,29,","","","","","","","-7.87","2,,,S"
"AYM00089022","2019-01","-75.45","-26.217","30.0","HALLEY, AY","0","5,S","26","5,S","","","","","","","20190118",",5,S","","","-14.8","5,S,18,","","","","","","","-8.77","5,,,S"
"AYM00089022","2019-09","-75.45","-26.217","30.0","HALLEY, AY","25","5,S","25","5,S","","","","","","","20190902",",5,S","","","-45.2","5,S,02,","","","","","","","-35.95","5,,,S"
"AYM00089022","2019-12","-75.45","-26.217","30.0","HALLEY, AY","0","5,S","26","5,S","","","","","","","20191203",",5,S","","","-10.5","5,S,03,","","","","","","","-5.76","5,,,S"
"AYM00089022","2022-12","-75.45","-26.217","30.0","HALLEY, AY","0","2,S","29","2,S","","","","","","","20221207",",2,S","","","-15.7","2,S,07,","","","","","","","-8.92","2,,,S"
"AYM00089022","2023-01","-75.45","-26.217","30.0","HALLEY, AY","0","5,S","26","5,S","","","","","","","20230112",",5,S","","","-14.7","5,S,12,","","","","","","","-9.14","5,,,S"
"AYM00089022","2023-02","-75.45","-26.217","30.0","HALLEY, AY","11","4,S","24","4,S","","","","","","","20230223",",4,S","","","-23.9","4,S,23,","","","","","","","-17.73","4,,,S"
"AYM00089022","2023-12","-75.45","-26.217","30.0","HALLEY, AY","0","5,S","26","5,S","","","","","","","20231226",",5,S","","","-16.1","5,S,26,","","","","","","","-10.36","5,,,S"
"AYM00089022","2024-01","-75.45","-26.217","30.0","HALLEY, AY","1","5,S","26","5,S","","","","","","","20240126",",5,S","","","-18.2","5,S,26,","","","","","","","-8.78","5,,,S"
"AYM00089022","2024-02","-75.45","-26.217","30.0","HALLEY, AY","5","3,S","26","3,S","","","","","","","20240228",",3,S","","","-23.6","3,S,28,","","","","","","","-12.25","3,,,S"
