"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"BOM00033105","1963-09","51.783","28.333","141.0","LELOIOV, BO","","","6",",I","5",",I","0",",I","","","","","","","0","5,S","14","5,S","0","5,S","","","","","19630908",",,I","19630903","+,5,S","","","","","20.7",",,I,08,","28.9","5,S,03,+","","","53.3",",,,I","","","21.18","5,,,S","",""
"BOM00033105","1963-10","51.783","28.333","141.0","LELOIOV, BO","","","7","1,I","2","1,I","0","1,I","","","","","","","","","","","","","","","","","19631004",",1,I","","","","","","","6.9","1,,I,04,","","","","","15.5","1,,,I","","","","","",""
"BOM00033105","1963-11","51.783","28.333","141.0","LELOIOV, BO","","","16",",I","7",",I","0",",I","","","","","","","","","","","","","","","","","19631114",",,I","","","","","","","6.8",",,I,14,","","","","","45.3",",,,I","","","","","",""
"BOM00033105","1963-12","51.783","28.333","141.0","LELOIOV, BO","","","10",",I","2",",I","0",",I","","","","","","","","","","","","","","","","","19631220",",,I","","","","","","","4.4",",,I,20,","","","","","16.2",",,,I","","","","","",""
"BOM00033105","1964-01","51.783","28.333","141.0","LELOIOV, BO","","","6","3,I","1","3,I","0","3,I","","","","","","","","","","","","","","","","","19640127",",3,I","","","","","","","3.3","3,,I,27,","","","","","9.9","3,,,I","","","","","",""
"BOM00033105","1964-02","51.783","28.333","141.0","LELOIOV, BO","","","13",",I","3",",I","0",",I","","","","","","","","","","","","","","","","","19640219",",,I","","","","","","","4.9",",,I,19,","","","","","20.4",",,,I","","","","","",""
"BOM00033105","1964-05","51.783","28.333","141.0","LELOIOV, BO","","","11",",I","5",",I","0",",I","","","","","","","","","","","","","","","","","19640501",",,I","","","","","","","5.6",",,I,01,","","","","","32.2",",,,I","","","","","",""
"BOM00033105","1964-06","51.783","28.333","141.0","LELOIOV, BO","","","7",",I","4",",I","0",",I","","","","","","","","","","","","","","","","","19640603",",,I","","","","","","","21.4",",,I,03,","","","","","44.2",",,,I","","","","","",""
"BOM00033105","1964-07","51.783","28.333","141.0","LELOIOV, BO","","","14",",I","11",",I","1",",I","","","","","","","","","","","","","","","","","19640730",",,I","","","","","","","25.5",",,I,30,","","","","","123.0",",,,I","","","","","",""
"BOM00033105","1964-08","51.783","28.333","141.0","LELOIOV, BO","","","15",",I","9",",I","0",",I","","","","","","","","","","","","","","","","","19640805",",,I","","","","","","","16.7",",,I,05,","","","","","74.5",",,,I","","","","","",""
"BOM00033105","1964-09","51.783","28.333","141.0","LELOIOV, BO","","","11",",I","4",",I","1",",I","","","","","","","","","","","","","","","","","19640909",",,I","","","","","","","39.2",",,I,09,","","","","","82.9",",,,I","","","","","",""
"BOM00033105","1964-10","51.783","28.333","141.0","LELOIOV, BO","","","4",",I","2",",I","1",",I","","","","","","","","","","","","","","","","","19641010",",,I","","","","","","","31.0",",,I,10,","","","","","38.5",",,,I","","","","","",""
"BOM00033105","1964-12","51.783","28.333","141.0","LELOIOV, BO","","","13","2,I","4","2,I","1","2,I","","","","","","","","","","","","","","","","","19641202",",2,I","","","","","","","40.7","2,,I,02,","","","","","69.8","2,,,I","","","","","",""
"BOM00033105","1965-01","51.783","28.333","141.0","LELOIOV, BO","","","14","1,I","5","1,I","0","1,I","","","","","","","","","","","","","","","","","19650119",",1,I","","","","","","","10.1","1,,I,19,","","","","","45.5","1,,,I","","","","","",""
"BOM00033105","1965-02","51.783","28.333","141.0","LELOIOV, BO","","","13",",I","2",",I","0",",I","","","","","","","","","","","","","","","","","19650216",",,I","","","","","","","2.8",",,I,16,","","","","","12.8",",,,I","","","","","",""
"BOM00033105","1965-03","51.783","28.333","141.0","LELOIOV, BO","","","4","4,I","2","4,I","0","4,I","","","","","","","","","","","","","","","","","19650304",",4,I","","","","","","","3.8","4,,I,04,","","","","","9.9","4,,,I","","","","","",""
"BOM00033105","1965-04","51.783","28.333","141.0","LELOIOV, BO","","","4",",I","2",",I","0",",I","","","","","","","","","","","","","","","","","19650422",",,I","","","","","","","10.0",",,I,22,","","","","","21.0",",,,I","","","","","",""
"BOM00033105","1965-05","51.783","28.333","141.0","LELOIOV, BO","","","13",",I","7",",I","0",",I","","","","","","","","","","","","","","","","","19650520",",,I","","","","","","","9.1",",,I,20,","","","","","40.4",",,,I","","","","","",""
"BOM00033105","1965-06","51.783","28.333","141.0","LELOIOV, BO","","","17","4,I","7","4,I","0","4,I","","","","","","","","","","","","","","","","","19650614",",4,I","","","","","","","20.0","4,,I,14,","","","","","72.0","4,,,I","","","","","",""
"BOM00033105","1965-09","51.783","28.333","141.0","LELOIOV, BO","","","4",",I","2",",I","0",",I","","","","","","","","","","","","","","","","","19650901",",,I","","","","","","","8.9",",,I,01,","","","","","14.6",",,,I","","","","","",""
"BOM00033105","1965-10","51.783","28.333","141.0","LELOIOV, BO","","","8",",I","1",",I","0",",I","","","","","","","","","","","","","","","","","19651005",",,I","","","","","","","7.8",",,I,05,","","","","","18.9",",,,I","","","","","",""
"BOM00033105","1965-11","51.783","28.333","141.0","LELOIOV, BO","","","12",",I","7",",I","0",",I","","","","","","","","","","","","","","","","","19651102",",,I","","","","","","","11.2",",,I,02,","","","","","40.6",",,,I","","","","","",""
"BOM00033105","1965-12","51.783","28.333","141.0","LELOIOV, BO","","","13",",I","5",",I","0",",I","","","","","","","","","","","","","","","","","19651212",",,I","","","","","","","10.3",",,I,12,","","","","","38.4",",,,I","","","","","",""
"BOM00033105","1966-01","51.783","28.333","141.0","LELOIOV, BO","","","26",",I","11",",I","0",",I","","","","","","","","","","","","","","","","","19660113",",,I","","","","","","","23.7",",,I,13,","","","","","83.3",",,,I","","","","","",""
"BOM00033105","1966-02","51.783","28.333","141.0","LELOIOV, BO","","","20",",I","9",",I","0",",I","","","","","","","","","","","","","","","","","19660224",",,I","","","","","","","14.8",",,I,24,","","","","","68.7",",,,I","","","","","",""
"BOM00033105","1966-03","51.783","28.333","141.0","LELOIOV, BO","","","10",",I","3",",I","0",",I","","","","","","","","","","","","","","","","","19660331",",,I","","","","","","","17.1",",,I,31,","","","","","30.2",",,,I","","","","","",""
"BOM00033105","1966-04","51.783","28.333","141.0","LELOIOV, BO","","","8","1,I","5","1,I","0","1,I","","","","","","","","","","","","","","","","","19660401",",1,I","","","","","","","12.3","1,,I,01,","","","","","34.8","1,,,I","","","","","",""
"BOM00033105","1966-05","51.783","28.333","141.0","LELOIOV, BO","","","11",",I","7",",I","0",",I","","","","","","","","","","","","","","","","","19660524",",,I","","","","","","","12.2",",,I,24,","","","","","55.3",",,,I","","","","","",""
"BOM00033105","1966-06","51.783","28.333","141.0","LELOIOV, BO","","","11",",I","4",",I","0",",I","","","","","","","","","","","","","","","","","19660607",",,I","","","","","","","13.8",",,I,07,","","","","","48.9",",,,I","","","","","",""
"BOM00033105","1966-07","51.783","28.333","141.0","LELOIOV, BO","","","16",",I","12",",I","1",",I","","","","","","","","","","","","","","","","","19660727",",,I","","","","","","","30.4",",,I,27,","","","","","126.3",",,,I","","","","","",""
"BOM00033105","1966-08","51.783","28.333","141.0","LELOIOV, BO","","","7",",I","5",",I","1",",I","","","","","","","","","","","","","","","","","19660821",",,I","","","","","","","27.9",",,I,21,","","","","","57.9",",,,I","","","","","",""
"BOM00033105","1966-09","51.783","28.333","141.0","LELOIOV, BO","","","11",",I","3",",I","0",",I","","","","","","","","","","","","","","","","","19660914",",,I","","","","","","","7.0",",,I,14,","","","","","21.2",",,,I","","","","","",""
"BOM00033105","1966-10","51.783","28.333","141.0","LELOIOV, BO","","","11",",I","6",",I","0",",I","","","","","","","","","","","","","","","","","19661022",",,I","","","","","","","17.4",",,I,22,","","","","","57.5",",,,I","","","","","",""
"BOM00033105","1966-11","51.783","28.333","141.0","LELOIOV, BO","","","13",",I","6",",I","0",",I","","","","","","","","","","","","","","","","","19661120",",,I","","","","","","","16.1",",,I,20,","","","","","56.9",",,,I","","","","","",""
"BOM00033105","1966-12","51.783","28.333","141.0","LELOIOV, BO","","","17",",I","7",",I","0",",I","","","","","","","","","","","","","","","","","19661204",",,I","","","","","","","8.8",",,I,04,","","","","","44.6",",,,I","","","","","",""
