"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"BOM00026745","1961-09","54.483","26.9","183.0","VILEYKA, BO","8",",I","7",",I","0",",I","","","","","19610909",",,I","","","13.3",",,I,09,","63.9",",,,I"
"BOM00026745","1961-10","54.483","26.9","183.0","VILEYKA, BO","2",",I","0",",I","0",",I","","","","","19611015",",,I","","","1.0",",,I,15,","2.2",",,,I"
"BOM00026745","1961-11","54.483","26.9","183.0","VILEYKA, BO","15",",I","4",",I","0",",I","","","","","19611128",",,I","","","3.2",",,I,28,","24.0",",,,I"
"BOM00026745","1961-12","54.483","26.9","183.0","VILEYKA, BO","17",",I","5",",I","0",",I","","","","","19611205",",,I","","","10.8",",,I,05,","39.3",",,,I"
"BOM00026745","1962-01","54.483","26.9","183.0","VILEYKA, BO","14",",I","4",",I","0",",I","","","","","19620107",",,I","","","7.8",",,I,07,","27.8",",,,I"
"BOM00026745","1962-02","54.483","26.9","183.0","VILEYKA, BO","13",",I","4",",I","0",",I","","","","","19620213",",,I","","","4.1",",,I,13,","22.4",",,,I"
"BOM00026745","1962-03","54.483","26.9","183.0","VILEYKA, BO","14",",I","6",",I","0",",I","","","","","19620318",",,I","","","10.0",",,I,18,","49.3",",,,I"
"BOM00026745","1962-04","54.483","26.9","183.0","VILEYKA, BO","12",",I","6",",I","0",",I","","","","","19620407",",,I","","","13.9",",,I,07,","45.2",",,,I"
"BOM00026745","1962-05","54.483","26.9","183.0","VILEYKA, BO","20",",I","9",",I","0",",I","","","","","19620525",",,I","","","15.9",",,I,25,","84.4",",,,I"
"BOM00026745","1962-06","54.483","26.9","183.0","VILEYKA, BO","13",",I","7",",I","0",",I","","","","","19620623",",,I","","","9.3",",,I,23,","59.5",",,,I"
"BOM00026745","1962-07","54.483","26.9","183.0","VILEYKA, BO","20",",I","11",",I","1",",I","","","","","19620715",",,I","","","32.9",",,I,15,","118.8",",,,I"
"BOM00026745","1962-08","54.483","26.9","183.0","VILEYKA, BO","15",",I","12",",I","1",",I","","","","","19620820",",,I","","","26.6",",,I,20,","126.2",",,,I"
"BOM00026745","1962-09","54.483","26.9","183.0","VILEYKA, BO","15",",I","9",",I","0",",I","","","","","19620906",",,I","","","10.1",",,I,06,","64.7",",,,I"
"BOM00026745","1962-10","54.483","26.9","183.0","VILEYKA, BO","7",",I","2",",I","0",",I","","","","","19621019",",,I","","","3.5",",,I,19,","13.0",",,,I"
"BOM00026745","1962-11","54.483","26.9","183.0","VILEYKA, BO","10",",I","8",",I","0",",I","","","","","19621122",",,I","","","18.4",",,I,22,","61.3",",,,I"
"BOM00026745","1962-12","54.483","26.9","183.0","VILEYKA, BO","9",",I","2",",I","0",",I","","","","","19621215",",,I","","","3.1",",,I,15,","15.7",",,,I"
"BOM00026745","1963-01","54.483","26.9","183.0","VILEYKA, BO","19",",I","3",",I","0",",I","","","","","19630106",",,I","","","3.1",",,I,06,","18.8",",,,I"
"BOM00026745","1963-02","54.483","26.9","183.0","VILEYKA, BO","12",",I","5",",I","0",",I","","","","","19630206",",,I","","","25.1",",,I,06,","53.3",",,,I"
"BOM00026745","1963-03","54.483","26.9","183.0","VILEYKA, BO","9",",I","5",",I","0",",I","","","","","19630325",",,I","","","8.4",",,I,25,","32.2",",,,I"
"BOM00026745","1963-04","54.483","26.9","183.0","VILEYKA, BO","7",",I","4",",I","0",",I","","","","","19630425",",,I","","","12.7",",,I,25,","34.2",",,,I"
"BOM00026745","1963-05","54.483","26.9","183.0","VILEYKA, BO","9",",I","5",",I","0",",I","","","","","19630522",",,I","","","17.1",",,I,22,","58.4",",,,I"
"BOM00026745","1963-06","54.483","26.9","183.0","VILEYKA, BO","10",",I","3",",I","1",",I","","","","","19630616",",,I","","","43.9",",,I,16,","74.9",",,,I"
"BOM00026745","1963-07","54.483","26.9","183.0","VILEYKA, BO","5",",I","3",",I","0",",I","","","","","19630709",",,I","","","13.6",",,I,09,","27.8",",,,I"
"BOM00026745","1963-08","54.483","26.9","183.0","VILEYKA, BO","9",",I","7",",I","1",",I","","","","","19630807",",,I","","","35.8",",,I,07,","83.9",",,,I"
"BOM00026745","1963-09","54.483","26.9","183.0","VILEYKA, BO","5",",I","3",",I","0",",I","","","","","19630930",",,I","","","6.5",",,I,30,","16.7",",,,I"
