"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ASN00087038","1937-01","-37.775","144.8767","20.0","MARIBYRNONG EXPLOSIVES FACTORY, AS","","","","","11",",a","5",",a","0",",a","","","","","","","","","","","","","19370125",",,a","","","","","23.1",",,a,25,","","","","","52.0",",,,a","","","","","",""
"ASN00087038","1937-02","-37.775","144.8767","20.0","MARIBYRNONG EXPLOSIVES FACTORY, AS","","","","","5",",a","2",",a","0",",a","","","","","","","","","","","","","19370221",",,a","","","","","21.6",",,a,21,","","","","","27.0",",,,a","","","","","",""
"ASN00087038","1937-03","-37.775","144.8767","20.0","MARIBYRNONG EXPLOSIVES FACTORY, AS","","","","","9",",a","5",",a","0",",a","","","","","","","","","","","","","19370306",",,a","","","","","6.4",",,a,06,","","","","","24.8",",,,a","","","","","",""
"ASN00087038","1937-04","-37.775","144.8767","20.0","MARIBYRNONG EXPLOSIVES FACTORY, AS","","","","","10",",a","1",",a","0",",a","","","","","","","","","","","","","19370429",",,a","","","","","3.3",",,a,29,","","","","","14.3",",,,a","","","","","",""
"ASN00087038","1937-05","-37.775","144.8767","20.0","MARIBYRNONG EXPLOSIVES FACTORY, AS","","","","","13",",a","3",",a","0",",a","","","","","","","","","","","","","19370531","+,,a","","","","","6.6",",,a,31,+","","","","","23.9",",,,a","","","","","",""
"ASN00087038","1937-06","-37.775","144.8767","20.0","MARIBYRNONG EXPLOSIVES FACTORY, AS","","","","","10",",a","2",",a","0",",a","","","","","","","","","","","","","19370601",",,a","","","","","12.7",",,a,01,","","","","","24.8",",,,a","","","","","",""
"ASN00087038","1937-07","-37.775","144.8767","20.0","MARIBYRNONG EXPLOSIVES FACTORY, AS","","","","","9",",a","1",",a","0",",a","","","","","","","","","","","","","19370704",",,a","","","","","9.1",",,a,04,","","","","","19.1",",,,a","","","","","",""
"ASN00087038","1937-08","-37.775","144.8767","20.0","MARIBYRNONG EXPLOSIVES FACTORY, AS","","","","","7",",a","2",",a","0",",a","","","","","","","","","","","","","19370821",",,a","","","","","9.4",",,a,21,","","","","","20.5",",,,a","","","","","",""
"ASN00087038","1937-09","-37.775","144.8767","20.0","MARIBYRNONG EXPLOSIVES FACTORY, AS","","","","","8",",a","2",",a","0",",a","","","","","","","","","","","","","19370903",",,a","","","","","8.6",",,a,03,","","","","","22.1",",,,a","","","","","",""
"ASN00087038","1937-10","-37.775","144.8767","20.0","MARIBYRNONG EXPLOSIVES FACTORY, AS","","","","","10",",a","6",",a","0",",a","","","","","","","","","","","","","19371018",",,a","","","","","21.6",",,a,18,","","","","","88.7",",,,a","","","","","",""
