"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ASN00088014","1911-11","-37.1","144.2","310.9","CASTLEMAINE POST OFFICE, AS","","","3",",a","0",",a","0",",a","","","","","","","","","","","","","19111116",",,a","","","","","1.5",",,a,16,","","","","","2.8",",,,a","","","","","",""
"ASN00088014","1911-12","-37.1","144.2","310.9","CASTLEMAINE POST OFFICE, AS","","","8",",a","5",",a","1",",a","","","","","","","","","","","","","19111212",",,a","","","","","33.8",",,a,12,","","","","","61.5",",,,a","","","","","",""
"ASN00088014","1912-01","-37.1","144.2","310.9","CASTLEMAINE POST OFFICE, AS","","","2",",a","1",",a","0",",a","","","","","","","","","","","","","19120105",",,a","","","","","3.0",",,a,05,","","","","","3.8",",,,a","","","","","",""
"ASN00088014","1912-02","-37.1","144.2","310.9","CASTLEMAINE POST OFFICE, AS","","","4",",a","2",",a","0",",a","","","","","","","","","","","","","19120208",",,a","","","","","17.0",",,a,08,","","","","","26.9",",,,a","","","","","",""
"ASN00088014","1912-03","-37.1","144.2","310.9","CASTLEMAINE POST OFFICE, AS","","","5",",a","2",",a","0",",a","","","","","","","","","","","","","19120311",",,a","","","","","5.8",",,a,11,","","","","","15.5",",,,a","","","","","",""
"ASN00088014","1912-04","-37.1","144.2","310.9","CASTLEMAINE POST OFFICE, AS","","","6",",a","1",",a","0",",a","","","","","","","","","","","","","19120408",",,a","","","","","6.4",",,a,08,","","","","","11.8",",,,a","","","","","",""
"ASN00088014","1912-05","-37.1","144.2","310.9","CASTLEMAINE POST OFFICE, AS","","","7",",a","4",",a","0",",a","","","","","","","","","","","","","19120520",",,a","","","","","5.6",",,a,20,","","","","","18.4",",,,a","","","","","",""
"ASN00088014","1912-06","-37.1","144.2","310.9","CASTLEMAINE POST OFFICE, AS","","","11",",a","6",",a","0",",a","","","","","","","","","","","","","19120624",",,a","","","","","18.0",",,a,24,","","","","","50.7",",,,a","","","","","",""
"ASN00088014","1912-07","-37.1","144.2","310.9","CASTLEMAINE POST OFFICE, AS","","","17",",a","7",",a","0",",a","","","","","","","","","","","","","19120708",",,a","","","","","18.5",",,a,08,","","","","","71.3",",,,a","","","","","",""
"ASN00088014","1912-08","-37.1","144.2","310.9","CASTLEMAINE POST OFFICE, AS","","","13",",a","3",",a","0",",a","","","","","","","","","","","","","19120813",",,a","","","","","5.3",",,a,13,","","","","","24.4",",,,a","","","","","",""
"ASN00088014","1912-09","-37.1","144.2","310.9","CASTLEMAINE POST OFFICE, AS","","","17",",a","10",",a","1",",a","","","","","","","","","","","","","19120916",",,a","","","","","53.1",",,a,16,","","","","","136.8",",,,a","","","","","",""
"ASN00088014","1912-10","-37.1","144.2","310.9","CASTLEMAINE POST OFFICE, AS","","","7",",a","2",",a","0",",a","","","","","","","","","","","","","19121009",",,a","","","","","4.1",",,a,09,","","","","","14.8",",,,a","","","","","",""
"ASN00088014","1912-11","-37.1","144.2","310.9","CASTLEMAINE POST OFFICE, AS","","","9",",a","7",",a","0",",a","","","","","","","","","","","","","19121104",",,a","","","","","11.9",",,a,04,","","","","","50.7",",,,a","","","","","",""
"ASN00088014","1912-12","-37.1","144.2","310.9","CASTLEMAINE POST OFFICE, AS","","","10",",a","7",",a","1",",a","","","","","","","","","","","","","19121202",",,a","","","","","25.7",",,a,02,","","","","","88.9",",,,a","","","","","",""
"ASN00088014","1913-01","-37.1","144.2","310.9","CASTLEMAINE POST OFFICE, AS","","","2",",a","1",",a","0",",a","","","","","","","","","","","","","19130103",",,a","","","","","2.5",",,a,03,","","","","","3.0",",,,a","","","","","",""
"ASN00088014","1913-02","-37.1","144.2","310.9","CASTLEMAINE POST OFFICE, AS","","","2",",a","2",",a","0",",a","","","","","","","","","","","","","19130215",",,a","","","","","24.4",",,a,15,","","","","","29.0",",,,a","","","","","",""
"ASN00088014","1913-03","-37.1","144.2","310.9","CASTLEMAINE POST OFFICE, AS","","","17",",a","9",",a","1",",a","","","","","","","","","","","","","19130325",",,a","","","","","26.9",",,a,25,","","","","","104.8",",,,a","","","","","",""
"ASN00088014","1913-04","-37.1","144.2","310.9","CASTLEMAINE POST OFFICE, AS","","","5",",a","1",",a","1",",a","","","","","","","","","","","","","19130426",",,a","","","","","27.2",",,a,26,","","","","","32.8",",,,a","","","","","",""
"ASN00088014","1913-05","-37.1","144.2","310.9","CASTLEMAINE POST OFFICE, AS","","","10",",a","2",",a","1",",a","","","","","","","","","","","","","19130503",",,a","","","","","29.5",",,a,03,","","","","","60.6",",,,a","","","","","",""
"ASN00088014","1913-06","-37.1","144.2","310.9","CASTLEMAINE POST OFFICE, AS","","","8",",a","3",",a","0",",a","","","","","","","","","","","","","19130624",",,a","","","","","22.4",",,a,24,","","","","","53.9",",,,a","","","","","",""
"ASN00088014","1913-07","-37.1","144.2","310.9","CASTLEMAINE POST OFFICE, AS","","","13",",a","4",",a","0",",a","","","","","","","","","","","","","19130719",",,a","","","","","7.1",",,a,19,","","","","","35.0",",,,a","","","","","",""
"ASN00088014","1913-08","-37.1","144.2","310.9","CASTLEMAINE POST OFFICE, AS","","","13",",a","6",",a","0",",a","","","","","","","","","","","","","19130816",",,a","","","","","12.7",",,a,16,","","","","","44.7",",,,a","","","","","",""
"ASN00088014","1913-09","-37.1","144.2","310.9","CASTLEMAINE POST OFFICE, AS","","","11",",a","6",",a","1",",a","","","","","","","","","","","","","19130919",",,a","","","","","35.6",",,a,19,","","","","","60.5",",,,a","","","","","",""
"ASN00088014","1913-10","-37.1","144.2","310.9","CASTLEMAINE POST OFFICE, AS","","","10",",a","5",",a","0",",a","","","","","","","","","","","","","19131015",",,a","","","","","15.2",",,a,15,","","","","","50.5",",,,a","","","","","",""
"ASN00088014","1913-11","-37.1","144.2","310.9","CASTLEMAINE POST OFFICE, AS","","","10",",a","4",",a","0",",a","","","","","","","","","","","","","19131115",",,a","","","","","6.4",",,a,15,","","","","","23.5",",,,a","","","","","",""
"ASN00088014","1913-12","-37.1","144.2","310.9","CASTLEMAINE POST OFFICE, AS","","","5",",a","2",",a","1",",a","","","","","","","","","","","","","19131223",",,a","","","","","28.4",",,a,23,","","","","","42.2",",,,a","","","","","",""
"ASN00088014","1914-01","-37.1","144.2","310.9","CASTLEMAINE POST OFFICE, AS","","","4",",a","0",",a","0",",a","","","","","","","","","","","","","19140128",",,a","","","","","1.5",",,a,28,","","","","","2.8",",,,a","","","","","",""
"ASN00088014","1914-02","-37.1","144.2","310.9","CASTLEMAINE POST OFFICE, AS","","","2",",a","0",",a","0",",a","","","","","","","","","","","","","19140209","+,,a","","","","","0.3",",,a,09,+","","","","","0.6",",,,a","","","","","",""
"ASN00088014","1914-03","-37.1","144.2","310.9","CASTLEMAINE POST OFFICE, AS","","","3",",a","3",",a","1",",a","","","","","","","","","","","","","19140327",",,a","","","","","58.4",",,a,27,","","","","","69.3",",,,a","","","","","",""
"ASN00088014","1914-04","-37.1","144.2","310.9","CASTLEMAINE POST OFFICE, AS","","","13",",a","4",",a","0",",a","","","","","","","","","","","","","19140421",",,a","","","","","18.8",",,a,21,","","","","","45.1",",,,a","","","","","",""
"ASN00088014","1914-05","-37.1","144.2","310.9","CASTLEMAINE POST OFFICE, AS","","","9",",a","3",",a","0",",a","","","","","","","","","","","","","19140513",",,a","","","","","18.3",",,a,13,","","","","","32.3",",,,a","","","","","",""
