"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"BLM00085247","2009-11","-17.833","-60.75","284.0","SAN JOSE, BL","","","","","","","0","2,S","28","2,S","26","2,S","","","20091101",",2,S","","","40.2","2,S,01,","","","","","","","36.12","2,,,S","",""
"BLM00085247","2009-12","-17.833","-60.75","284.0","SAN JOSE, BL","","","","","","","0","1,S","30","1,S","22","1,S","","","20091202",",1,S","","","36.4","1,S,02,","","","","","","","32.94","1,,,S","",""
"BLM00085247","2010-01","-17.833","-60.75","284.0","SAN JOSE, BL","","","","","","","0","1,S","30","1,S","20","1,S","","","20100126",",1,S","","","35.3","1,S,26,","","","","","","","31.69","1,,,S","",""
"BLM00085247","2010-02","-17.833","-60.75","284.0","SAN JOSE, BL","","","","","","","0","3,S","25","3,S","12","3,S","","","20100204",",3,S","","","35.6","3,S,04,","","","","","","","32.34","3,,,S","",""
"BLM00085247","2010-03","-17.833","-60.75","284.0","SAN JOSE, BL","","","","","","","0","3,S","28","3,S","24","3,S","","","20100310","+,3,S","","","37.4","3,S,10,+","","","","","","","34.30","3,,,S","",""
"BLM00085247","2010-04","-17.833","-60.75","284.0","SAN JOSE, BL","","","","","","","0","2,S","28","2,S","18","2,S","","","20100419",",2,S","","","38.6","2,S,19,","","","","","","","33.12","2,,,S","",""
"BLM00085247","2010-05","-17.833","-60.75","284.0","SAN JOSE, BL","","","","","","","0","1,S","28","1,S","10","1,S","","","20100502",",1,S","","","36.2","1,S,02,","","","","","","","28.88","1,,,S","",""
"BLM00085247","2010-06","-17.833","-60.75","284.0","SAN JOSE, BL","","","","","","","0","2,S","28","2,S","15","2,S","","","20100626","+,2,S","","","35.4","2,S,26,+","","","","","","","31.33","2,,,S","",""
"BLM00085247","2010-07","-17.833","-60.75","284.0","SAN JOSE, BL","","","","","","","0","4,S","21","4,S","14","4,S","","","20100730",",4,S","","","36.4","4,S,30,","","","","","","","29.17","4,,,S","",""
"BLM00085247","2010-08","-17.833","-60.75","284.0","SAN JOSE, BL","","","","","","","0","2,S","28","2,S","19","2,S","","","20100823",",2,S","","","38.4","2,S,23,","","","","","","","32.86","2,,,S","",""
"BLM00085247","2010-09","-17.833","-60.75","284.0","SAN JOSE, BL","","","","","","","0","3,S","27","3,S","19","3,S","","","20100917",",3,S","","","40.0","3,S,17,","","","","","","","34.20","3,,,S","",""
"BLM00085247","2010-10","-17.833","-60.75","284.0","SAN JOSE, BL","","","","","","","0","5,S","26","5,S","21","5,S","","","20101021",",5,S","","","40.4","5,S,21,","","","","","","","35.42","5,,,S","",""
"BLM00085247","2010-11","-17.833","-60.75","284.0","SAN JOSE, BL","","","","","","","0","5,S","25","5,S","19","5,S","","","20101104",",5,S","","","39.4","5,S,04,","","","","","","","34.82","5,,,S","",""
"BLM00085247","2010-12","-17.833","-60.75","284.0","SAN JOSE, BL","","","","","","","0","5,S","26","5,S","22","5,S","","","20101208",",5,S","","","40.4","5,S,08,","","","","","","","36.91","5,,,S","",""
"BLM00085247","2011-01","-17.833","-60.75","284.0","SAN JOSE, BL","","","","","","","0","4,S","27","4,S","17","4,S","","","20110105",",4,S","","","37.0","4,S,05,","","","","","","","32.51","4,,,S","",""
"BLM00085247","2011-03","-17.833","-60.75","284.0","SAN JOSE, BL","","","","","","","0","4,S","27","4,S","15","4,S","","","20110326",",4,S","","","35.0","4,S,26,","","","","","","","31.79","4,,,S","",""
"BLM00085247","2012-02","-17.833","-60.75","284.0","SAN JOSE, BL","","","","","","","0","4,S","25","4,S","16","4,S","","","20120208",",4,S","","","37.4","4,S,08,","","","","","","","32.92","4,,,S","",""
"BLM00085247","2012-05","-17.833","-60.75","284.0","SAN JOSE, BL","","","","","","","0","5,S","26","5,S","9","5,S","","","20120510","+,5,S","","","34.4","5,S,10,+","","","","","","","29.62","5,,,S","",""
"BLM00085247","2012-06","-17.833","-60.75","284.0","SAN JOSE, BL","","","","","","","0","5,S","21","5,S","4","5,S","","","20120602",",5,S","","","33.0","5,S,02,","","","","","","","27.87","5,,,S","",""
"BLM00085247","2012-08","-17.833","-60.75","284.0","SAN JOSE, BL","","","","","","","0","4,S","27","4,S","23","4,S","","","20120822",",4,S","","","37.4","4,S,22,","","","","","","","33.78","4,,,S","",""
"BLM00085247","2012-10","-17.833","-60.75","284.0","SAN JOSE, BL","","","","","","","0","4,S","27","4,S","24","4,S","","","20121031",",4,S","","","41.4","4,S,31,","","","","","","","37.21","4,,,S","",""
"BLM00085247","2013-08","-17.833","-60.75","284.0","SAN JOSE, BL","","","","","","","0","5,S","25","5,S","16","5,S","","","20130831",",5,S","","","39.4","5,S,31,","","","","","","","32.45","5,,,S","",""
"BLM00085247","2013-10","-17.833","-60.75","284.0","SAN JOSE, BL","","","","","","","0","5,S","26","5,S","17","5,S","","","20131010",",5,S","","","39.0","5,S,10,","","","","","","","32.97","5,,,S","",""
"BLM00085247","2014-01","-17.833","-60.75","284.0","SAN JOSE, BL","","","","","","","0","5,S","26","5,S","15","5,S","","","20140108",",5,S","","","35.1","5,S,08,","","","","","","","31.96","5,,,S","",""
"BLM00085247","2014-02","-17.833","-60.75","284.0","SAN JOSE, BL","","","","","","","0","4,S","24","4,S","9","4,S","","","20140219","+,4,S","","","34.3","4,S,19,+","","","","","","","31.00","4,,,S","",""
"BLM00085247","2014-05","-17.833","-60.75","284.0","SAN JOSE, BL","","","","","","","0","5,S","24","5,S","5","5,S","","","20140510",",5,S","","","33.4","5,S,10,","","","","","","","28.23","5,,,S","",""
"BLM00085247","2014-07","-17.833","-60.75","284.0","SAN JOSE, BL","","","","","","","0","5,S","21","5,S","9","5,S","","","20140717",",5,S","","","34.4","5,S,17,","","","","","","","27.54","5,,,S","",""
"BLM00085247","2014-09","-17.833","-60.75","284.0","SAN JOSE, BL","","","","","","","0","4,S","26","4,S","22","4,S","","","20140930",",4,S","","","39.5","4,S,30,","","","","","","","36.53","4,,,S","",""
"BLM00085247","2014-10","-17.833","-60.75","284.0","SAN JOSE, BL","","","","","","","0","5,S","26","5,S","23","5,S","","","20141018","+,5,S","","","42.0","5,S,18,+","","","","","","","37.07","5,,,S","",""
"BLM00085247","2015-01","-17.833","-60.75","284.0","SAN JOSE, BL","","","","","","","0","5,S","26","5,S","19","5,S","","","20150109",",5,S","","","38.0","5,S,09,","","","","","","","34.10","5,,,S","",""
"BLM00085247","2015-04","-17.833","-60.75","284.0","SAN JOSE, BL","","","","","","","0","3,S","27","3,S","18","3,S","","","20150415",",3,S","","","36.0","3,S,15,","","","","","","","32.62","3,,,S","",""
"BLM00085247","2015-05","-17.833","-60.75","284.0","SAN JOSE, BL","","","","","","","0","3,S","27","3,S","6","3,S","","","20150523",",3,S","","","33.2","3,S,23,","","","","","","","28.91","3,,,S","",""
"BLM00085247","2015-06","-17.833","-60.75","284.0","SAN JOSE, BL","","","","","","","0","2,S","26","2,S","9","2,S","","","20150626","+,2,S","","","33.0","2,S,26,+","","","","","","","29.06","2,,,S","",""
"BLM00085247","2015-07","-17.833","-60.75","284.0","SAN JOSE, BL","","","","","","","0","1,S","26","1,S","9","1,S","","","20150730",",1,S","","","36.0","1,S,30,","","","","","","","27.59","1,,,S","",""
"BLM00085247","2015-08","-17.833","-60.75","284.0","SAN JOSE, BL","","","","","","","0","1,S","30","1,S","24","1,S","","","20150831",",1,S","","","40.0","1,S,31,","","","","","","","34.45","1,,,S","",""
"BLM00085247","2015-09","-17.833","-60.75","284.0","SAN JOSE, BL","","","","","","","0","1,S","27","1,S","22","1,S","","","20150924","+,1,S","","","40.0","1,S,24,+","","","","","","","34.34","1,,,S","",""
"BLM00085247","2015-10","-17.833","-60.75","284.0","SAN JOSE, BL","","","","","","","0","1,S","29","1,S","22","1,S","","","20151020",",1,S","","","42.0","1,S,20,","","","","","","","35.04","1,,,S","",""
"BLM00085247","2015-11","-17.833","-60.75","284.0","SAN JOSE, BL","","","","","","","0","1,S","29","1,S","21","1,S","","","20151127",",1,S","","","41.3","1,S,27,","","","","","","","35.30","1,,,S","",""
"BLM00085247","2015-12","-17.833","-60.75","284.0","SAN JOSE, BL","","","","","","","0","1,S","30","1,S","27","1,S","","","20151212","+,1,S","","","40.0","1,S,12,+","","","","","","","36.15","1,,,S","",""
"BLM00085247","2016-02","-17.833","-60.75","284.0","SAN JOSE, BL","","","","","","","0","4,S","25","4,S","18","4,S","","","20160218","+,4,S","","","36.0","4,S,18,+","","","","","","","33.10","4,,,S","",""
"BLM00085247","2016-03","-17.833","-60.75","284.0","SAN JOSE, BL","","","","","","","0","4,S","27","4,S","18","4,S","","","20160318","+,4,S","","","36.0","4,S,18,+","","","","","","","32.82","4,,,S","",""
"BLM00085247","2016-06","-17.833","-60.75","284.0","SAN JOSE, BL","","","","","","","0","4,S","20","4,S","3","4,S","","","20160624",",4,S","","","33.4","4,S,24,","","","","","","","25.92","4,,,S","",""
