"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"BLM00085244","1998-06","-17.645","-63.135","373.4","VIRU VIRU INTERNATIONAL, BL","","","","","5","3,S","3","3,S","0","3,S","","","","","","","","","","","","","19980619",",3,S","","","","","4.1","3,,S,19,","","","","","12.1","3,,,S","","","","","",""
"BLM00085244","1998-07","-17.645","-63.135","373.4","VIRU VIRU INTERNATIONAL, BL","","","","","1","2,S","0","2,S","0","2,S","","","","","0","3,S","28","3,S","4","3,S","","","19980708",",2,S","19980725","+,3,S","","","0.5","2,,S,08,","33.0","3,S,25,+","","","0.5","2,,,S","","","29.32","3,,,S","",""
"BLM00085244","1998-08","-17.645","-63.135","373.4","VIRU VIRU INTERNATIONAL, BL","","","","","9","4,S","4","4,S","1","4,S","","","","","0","4,S","27","4,S","4","4,S","","","19980820",",4,S","19980812","+,4,S","","","27.9","4,,S,20,","32.6","4,S,12,+","","","60.5","4,,,S","","","29.58","4,,,S","",""
"BLM00085244","1998-10","-17.645","-63.135","373.4","VIRU VIRU INTERNATIONAL, BL","","","","","4","3,S","3","3,S","2","3,S","","","","","","","","","","","","","19981006",",3,S","","","","","54.1","3,,S,06,","","","","","93.2","3,,,S","","","","","",""
"BLM00085244","1999-05","-17.645","-63.135","373.4","VIRU VIRU INTERNATIONAL, BL","","","","","","","","","","","","","","","0","4,S","26","4,S","0","4,S","","","","","19990504","+,4,S","","","","","31.4","4,S,04,+","","","","","","","26.30","4,,,S","",""
"BLM00085244","1999-06","-17.645","-63.135","373.4","VIRU VIRU INTERNATIONAL, BL","","","","","","","","","","","0","5,S","0","5,S","0","5,S","20","5,S","0","5,S","19990601",",5,S","","","19990625","+,5,S","10.0","5,S,01,","","","30.0","5,S,25,+","","","","","20.61","0,S","25.10","5,,,S","16.12","5,,,S"
"BLM00085244","1999-07","-17.645","-63.135","373.4","VIRU VIRU INTERNATIONAL, BL","","","","","","","","","","","","","","","0","2,S","24","2,S","0","2,S","","","","","19990729","+,2,S","","","","","31.2","2,S,29,+","","","","","","","26.23","2,,,S","",""
"BLM00085244","1999-08","-17.645","-63.135","373.4","VIRU VIRU INTERNATIONAL, BL","","","","","","","","","","","","","","","0","1,S","28","1,S","11","1,S","","","","","19990831","+,1,S","","","","","35.4","1,S,31,+","","","","","","","30.05","1,,,S","",""
"BLM00085244","1999-09","-17.645","-63.135","373.4","VIRU VIRU INTERNATIONAL, BL","","","","","","","","","","","","","","","0","4,S","26","4,S","22","4,S","","","","","19990905","+,4,S","","","","","36.0","4,S,05,+","","","","","","","33.45","4,,,S","",""
"BLM00085244","1999-11","-17.645","-63.135","373.4","VIRU VIRU INTERNATIONAL, BL","","","","","7","4,S","2","4,S","0","4,S","","","","","0","4,S","26","4,S","21","4,S","","","19991126",",4,S","19991116","+,4,S","","","21.1","4,,S,26,","37.8","4,S,16,+","","","35.1","4,,,S","","","34.27","4,,,S","",""
