target,SHARE_x,WRB4_x,KOPPEN,TEXTURE_USDA_x,DRAINAGE_x,ROOT_DEPTH_x,AWC_x,COARSE,SAND,SILT,CLAY,TEXTURE_SOTER,BULK,REF_BULK,ORG_CARBON,PH_WATER,TOTAL_N,CN_RATIO,CEC_SOIL,CEC_CLAY,CEC_EFF,TEB,BSAT,ALUM_SAT,ESP,TCARBON_EQ,GYPSUM,ELEC_COND,TG,TN,TX,RR,RR1,Year
4.0,50,RGeu,B,11.0,MW,1,106,18,66,20,14,C,1.45,1.61,0.576,7.4,0.52,10,13,75,20,20,98,0,3,1.8,4.0,1,18.594669047618993,4.7468600000000265,34.96230000000003,5.37490689285714,1.02380952380952,2021
4.0,50,RGeu,B,11.0,MW,1,106,18,66,20,14,C,1.45,1.61,0.576,7.4,0.52,10,13,75,20,20,98,0,3,1.8,4.0,1,18.751496904760984,4.7099999999999795,35.59809999999999,4.80671336137571,0.904761904761904,2021
4.0,50,RGeu,B,11.0,MW,1,106,18,66,20,14,C,1.45,1.61,0.576,7.4,0.52,10,13,75,20,20,98,0,3,1.8,4.0,1,18.330391428570977,4.3043799999999806,35.2183,5.01239328893142,0.952380952380952,2021
0.0,50,PHlv,C,9.0,MW,1,177,2,33,42,25,M,1.4,1.78,2.2,6.1,1.96,12,19,47,16,16,82,0,1,0.0,0.0,0,16.40128666666601,4.963129999999978,28.245299999999986,43.4552772142857,3.47619047619047,2021
0.0,50,PHlv,C,9.0,MW,1,177,2,33,42,25,M,1.4,1.78,2.2,6.1,1.96,12,19,47,16,16,82,0,1,0.0,0.0,0,16.40128666666601,4.963129999999978,28.245299999999986,43.4552772142857,3.47619047619047,2021
3.0,50,CMdy,C,9.0,MW,1,144,17,44,36,20,M,1.25,1.71,2.644,5.2,2.32,13,18,31,9,6,37,27,1,0.0,1.6,1,13.868105952380972,3.8933700000000044,28.378780000000006,19.7323591738095,3.45238095238095,2021
3.0,50,CMdy,C,9.0,MW,1,144,17,44,36,20,M,1.25,1.71,2.644,5.2,2.32,13,18,31,9,6,37,27,1,0.0,1.6,1,14.354731190476002,3.643599999999992,29.752099999999984,28.0788368571428,2.3095238095238,2021
3.0,50,CMdy,C,9.0,MW,1,144,17,44,36,20,M,1.25,1.71,2.644,5.2,2.32,13,18,31,9,6,37,27,1,0.0,1.6,1,14.066356428570998,4.183780000000013,28.44173999999998,15.6726583142857,2.09523809523809,2021
3.0,50,CMdy,C,9.0,MW,1,144,17,44,36,20,M,1.25,1.71,2.644,5.2,2.32,13,18,31,9,6,37,27,1,0.0,1.6,1,14.212541666666027,3.4985399999999913,29.44443000000001,20.7271088190476,2.09523809523809,2021
3.0,50,PHlv,C,9.0,MW,1,177,2,33,42,25,M,1.4,1.78,2.2,6.1,1.96,12,19,47,16,16,82,0,1,0.0,0.0,0,16.289105952379998,3.431849999999997,30.14440000000002,40.55846,3.19047619047619,2021
