,STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DP1X,DP1X_ATTRIBUTES,DYXP,DYXP_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,DYNT,DYNT_ATTRIBUTES,DYXT,DYXT_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,DSND,DSND_ATTRIBUTES,DYSD,DYSD_ATTRIBUTES,EMSD,EMSD_ATTRIBUTES,DSNW,DSNW_ATTRIBUTES,DYFG,DYFG_ATTRIBUTES,DYSN,DYSN_ATTRIBUTES,DYTS,DYTS_ATTRIBUTES,EMSN,EMSN_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,AWND,AWND_ATTRIBUTES,DYHF,DYHF_ATTRIBUTES,WDFG,WDFG_ATTRIBUTES,WSFG,WSFG_ATTRIBUTES,PSUN,PSUN_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES,WDFM,WDFM_ATTRIBUTES,WSFM,WSFM_ATTRIBUTES,WDF1,WDF1_ATTRIBUTES,WSF1,WSF1_ATTRIBUTES
1006,ASN00057018,1887-06,-28.8914,152.5663,130.0,"TABULAM POST OFFICE, AS",2.0,",a",1.0,",a",0.0,",a",18870612.0,",,a",12.7,",,a,12,",13.2,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007,ASN00057019,1987-01,-28.9066,152.7255,185.0,"MALLANGANEE SANDILANDS ST, AS",8.0,",a",5.0,",a",1.0,",a",19870103.0,",,a",75.0,",,a,03,",146.5,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008,ASN00057020,1750-03,-28.4735,152.5481,370.0,"URBENVILLE OLD POST OFFICE, AS",10.0,"2,a",8.0,"2,a",2.0,"2,a",17500309.0,",2,a",29.8,"2,,a,09,",148.4,"2,,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009,ASN00057021,1938-04,-28.4667,152.55,365.8,"URBENVILLE STATE FOREST, AS",9.0,",a",6.0,",a",1.0,",a",19380410.0,",,a",38.1,",,a,10,",81.0,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010,ASN00057022,1901-01,-30.4905,152.1004,980.0,"WOLLOMOMBI WALLAMUMBI, AS",7.0,",a",6.0,",a",1.0,",a",19010101.0,",,a",41.9,",,a,01,",103.1,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011,ASN00057023,1750-03,-30.2892,152.1701,1195.0,"EBOR WONGWIBINDA, AS",8.0,"2,a",7.0,"2,a",2.0,"2,a",17500307.0,",2,a",56.6,"2,,a,07,",121.2,"2,,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012,ASN00057024,1933-11,-28.3879,152.6083,395.0,"WOODENBONG UNUMGAR ST, AS",5.0,",a",5.0,",a",0.0,",a",19331122.0,",,a",17.0,",,a,22,",43.8,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013,ASN00057025,1939-08,-29.2,152.3,,"TENTERFIELD SURFACE HILL, AS",7.0,",a",2.0,",a",1.0,",a",19390803.0,",,a",60.5,",,a,03,",72.0,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1014,ASN00057026,1894-09,-28.2846,152.5034,565.0,"OLD KOREELAH WHITE SWAMP EDE, AS",13.0,",a",7.0,",a",1.0,",a",18940903.0,",,a",44.2,",,a,03,",86.6,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015,ASN00057027,1952-11,-28.8167,152.6833,304.8,"TUNGLEBUNG WINGFIELD, AS",4.0,",a",3.0,",a",0.0,",a",19521128.0,",,a",18.5,",,a,28,",26.6,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1016,ASN00057028,1889-01,-30.5644,151.907,997.0,"HILLGROVE HILLVIEW, AS",10.0,",a",6.0,",a",2.0,",a",18890121.0,",,a",58.9,",,a,21,",143.3,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1017,ASN00057029,1940-07,-30.7167,151.8333,,"URALLA TALGAI, AS",0.0,",a",0.0,",a",0.0,",a",19400731.0,"+,,a",0.0,",,a,31,+",0.0,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1018,ASN00057030,2002-11,-30.3198,152.2383,1215.0,"WONGWIBINDA DIAMOND FALLS, AS",7.0,",a",5.0,",a",1.0,",a",20021122.0,",,a",33.6,",,a,22,",75.8,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1019,ASN00057031,1954-06,-28.35,152.4333,1036.3,"ACACIA PLATEAU BELMONT, AS",12.0,",a",7.0,",a",0.0,",a",19540605.0,",,a",18.8,",,a,05,",58.2,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1020,ASN00057032,2004-01,-30.4829,152.3025,1278.0,"POINT LOOKOUT YARAANDOO, AS",15.0,",a",11.0,",a",1.0,",a",20040115.0,",,a",32.2,",,a,15,",138.9,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1021,ASN00057033,1959-06,-30.5112,152.0427,960.0,"WOLLOMOMBI POST OFFICE, AS",10.0,"2,a",2.0,"2,a",0.0,"2,a",19590603.0,",2,a",4.3,"2,,a,03,",45.4,",a,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1022,ASN00057034,1961-02,-30.45,151.8167,985.0,"ARMIDALE GOOYONG, AS",11.0,",a",8.0,",a",1.0,",a",19610219.0,",,a",33.0,",,a,19,",97.2,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1023,ASN00057035,1750-03,-31.1333,152.1253,975.0,"YARROWITCH BENDITI, AS",,,,,,,,,,,68.8,"2,a,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1024,ASN00057036,1961-01,-30.8,151.8667,829.0,"WALCHA CHEYENNE, AS",6.0,",a",3.0,",a",0.0,",a",19610103.0,",,a",17.3,",,a,03,",28.0,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1025,ASN00057037,1953-02,-31.1117,151.8014,1060.0,"TIA RAMBRAH, AS",9.0,",a",9.0,",a",2.0,",a",19530222.0,",,a",37.8,",,a,22,",162.0,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1026,ASN00057038,1961-02,-30.4167,152.1667,,"WOLLOMOMBI MAIDEN CREEK HMSD, AS",10.0,",a",8.0,",a",2.0,",a",19610220.0,",,a",33.0,",,a,20,",115.1,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1027,ASN00057039,1961-02,-31.15,152.0,914.4,"YARROWITCH OAKLANDS, AS",14.0,",a",10.0,",a",2.0,",a",19610209.0,",,a",30.5,",,a,09,",135.0,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1028,ASN00057040,1961-02,-30.4,151.95,,"ROCKVALE MACLEAY BASIN, AS",9.0,"3,a",5.0,"3,a",0.0,"3,a",19610208.0,",3,a",22.6,"3,,a,08,",124.0,",a,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1029,ASN00057041,1961-02,-30.4833,152.3333,1265.0,"SERPENTINE HATCHERY, AS",16.0,",a",13.0,",a",3.0,",a",19610219.0,",,a",45.0,",,a,19,",195.4,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1030,ASN00057042,1961-01,-30.5333,152.15,970.0,"WOLLOMOMBI WAKEFIELD, AS",12.0,",a",11.0,",a",1.0,",a",19610103.0,",,a",41.9,",,a,03,",104.9,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1031,ASN00057043,1961-02,-30.5,152.25,1110.0,"WOLLOMOMBI YOOROONAH, AS",12.0,",a",8.0,",a",2.0,",a",19610220.0,",,a",82.3,",,a,20,",170.4,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1032,ASN00057044,1961-01,-30.7467,152.28,125.0,"LOWER CREEK MCCORMACKS FLAT, AS",12.0,",a",11.0,",a",0.0,",a",19610103.0,",,a",16.5,",,a,03,",71.0,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
